Category: All categories

Month,Lotte from Gadgetville: (Worldwide),Mõmmi ja aabits: (Worldwide),Moomin: (Worldwide),Cheburashka: (Worldwide)
2004-01,0,0,0,22
2004-02,0,0,13,22
2004-03,0,0,13,38
2004-04,0,0,0,21
2004-05,0,0,0,9
2004-06,0,0,0,22
2004-07,0,0,0,22
2004-08,0,0,0,31
2004-09,0,0,10,16
2004-10,0,0,11,18
2004-11,0,0,12,17
2004-12,0,0,9,17
2005-01,0,0,19,18
2005-02,0,0,15,15
2005-03,0,0,9,20
2005-04,0,0,14,19
2005-05,0,0,15,15
2005-06,0,0,20,15
2005-07,0,0,21,15
2005-08,0,0,20,16
2005-09,0,0,13,14
2005-10,0,0,13,21
2005-11,0,0,19,28
2005-12,0,0,11,50
2006-01,0,0,11,42
2006-02,0,0,15,62
2006-03,0,0,13,40
2006-04,0,0,14,30
2006-05,0,0,14,34
2006-06,0,0,16,26
2006-07,0,0,15,27
2006-08,0,0,19,25
2006-09,0,0,17,29
2006-10,0,0,16,32
2006-11,3,0,11,35
2006-12,7,0,14,38
2007-01,6,0,17,28
2007-02,14,0,14,32
2007-03,11,0,14,25
2007-04,6,0,14,26
2007-05,4,0,13,24
2007-06,3,0,15,25
2007-07,0,0,14,28
2007-08,4,0,14,23
2007-09,2,0,12,25
2007-10,0,0,14,24
2007-11,0,0,14,29
2007-12,0,0,16,36
2008-01,2,0,21,28
2008-02,3,0,25,35
2008-03,2,0,26,31
2008-04,2,0,24,28
2008-05,0,0,18,27
2008-06,0,0,16,24
2008-07,0,0,13,30
2008-08,0,0,20,36
2008-09,0,0,21,30
2008-10,0,0,25,31
2008-11,2,0,24,34
2008-12,0,0,28,38
2009-01,2,0,27,32
2009-02,0,0,25,35
2009-03,0,0,24,36
2009-04,1,0,22,31
2009-05,0,0,28,30
2009-06,1,0,26,31
2009-07,0,0,22,26
2009-08,1,0,22,27
2009-09,2,0,23,32
2009-10,1,0,25,43
2009-11,1,0,27,41
2009-12,2,0,26,44
2010-01,1,0,24,39
2010-02,1,0,27,45
2010-03,1,0,26,44
2010-04,2,0,27,35
2010-05,1,0,24,34
2010-06,1,0,20,32
2010-07,1,0,22,32
2010-08,0,0,23,31
2010-09,1,1,26,34
2010-10,1,1,28,44
2010-11,2,0,33,57
2010-12,1,0,28,66
2011-01,0,0,26,51
2011-02,1,1,25,47
2011-03,1,0,22,42
2011-04,1,0,24,46
2011-05,1,0,22,38
2011-06,1,0,23,38
2011-07,1,0,24,39
2011-08,1,0,25,42
2011-09,2,1,26,45
2011-10,1,0,26,51
2011-11,1,0,29,55
2011-12,1,0,32,59
2012-01,2,1,33,57
2012-02,1,1,30,59
2012-03,1,0,30,53
2012-04,1,0,28,46
2012-05,1,<1,28,42
2012-06,2,0,34,40
2012-07,1,0,29,39
2012-08,1,1,30,45
2012-09,1,0,30,50
2012-10,1,0,34,53
2012-11,2,0,32,56
