year,municipality,language,place of birth,concept,language skills,status,value
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can understand,,744.1
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can speak,,732.2
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can read,,730.7
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can write,,659.7
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),knowledge of all skills,,659.7
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can understand,,100
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can speak,,98.4
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can read,,98.2
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can write,,88.7
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),knowledge of all skills,,88.7
2023,Barcelona,Catalan,rest of Spain,population aged 15 and over (thousands),can understand,,221.3
2023,Barcelona,Catalan,rest of Spain,population aged 15 and over (thousands),can speak,,175.3
2023,Barcelona,Catalan,rest of Spain,population aged 15 and over (thousands),can read,,188
2023,Barcelona,Catalan,rest of Spain,population aged 15 and over (thousands),can write,,94.8
2023,Barcelona,Catalan,rest of Spain,population aged 15 and over (thousands),knowledge of all skills,,94.8
2023,Barcelona,Catalan,rest of Spain,proportion of population from 15 years and over (%),can understand,,95.2
2023,Barcelona,Catalan,rest of Spain,proportion of population from 15 years and over (%),can speak,,75.4
2023,Barcelona,Catalan,rest of Spain,proportion of population from 15 years and over (%),can read,,80.9
2023,Barcelona,Catalan,rest of Spain,proportion of population from 15 years and over (%),can write,,40.8
2023,Barcelona,Catalan,rest of Spain,proportion of population from 15 years and over (%),knowledge of all skills,,40.8
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can understand,,377.9
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can speak,,228.1
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can read,,293.1
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can write,,157.1
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),knowledge of all skills,,151.6
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can understand,,77.9
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can speak,,47
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can read,,60.4
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can write,,32.4
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,31.3
2023,Barcelona,Catalan,total,population aged 15 and over (thousands),can understand,,1343.3
2023,Barcelona,Catalan,total,population aged 15 and over (thousands),can speak,,1135.5
2023,Barcelona,Catalan,total,population aged 15 and over (thousands),can read,,1211.8
2023,Barcelona,Catalan,total,population aged 15 and over (thousands),can write,,911.6
2023,Barcelona,Catalan,total,population aged 15 and over (thousands),knowledge of all skills,,906.2
2023,Barcelona,Catalan,total,proportion of population from 15 years and over (%),can understand,,91.9
2023,Barcelona,Catalan,total,proportion of population from 15 years and over (%),can speak,,77.7
2023,Barcelona,Catalan,total,proportion of population from 15 years and over (%),can read,,82.9
2023,Barcelona,Catalan,total,proportion of population from 15 years and over (%),can write,,62.4
2023,Barcelona,Catalan,total,proportion of population from 15 years and over (%),knowledge of all skills,,62
2023,Barcelona,Spanish,Catalonia,population aged 15 and over (thousands),can understand,,744.1
2023,Barcelona,Spanish,Catalonia,population aged 15 and over (thousands),can speak,,742.9
2023,Barcelona,Spanish,Catalonia,population aged 15 and over (thousands),can read,,739.3
2023,Barcelona,Spanish,Catalonia,population aged 15 and over (thousands),can write,,720.2
2023,Barcelona,Spanish,Catalonia,population aged 15 and over (thousands),knowledge of all skills,,720.2
2023,Barcelona,Spanish,Catalonia,proportion of population from 15 years and over (%),can understand,,100
2023,Barcelona,Spanish,Catalonia,proportion of population from 15 years and over (%),can speak,,99.8
2023,Barcelona,Spanish,Catalonia,proportion of population from 15 years and over (%),can read,,99.4
2023,Barcelona,Spanish,Catalonia,proportion of population from 15 years and over (%),can write,,96.8
2023,Barcelona,Spanish,Catalonia,proportion of population from 15 years and over (%),knowledge of all skills,,96.8
2023,Barcelona,Spanish,rest of Spain,population aged 15 and over (thousands),can understand,,232.5
2023,Barcelona,Spanish,rest of Spain,population aged 15 and over (thousands),can speak,,232.5
2023,Barcelona,Spanish,rest of Spain,population aged 15 and over (thousands),can read,,226.8
2023,Barcelona,Spanish,rest of Spain,population aged 15 and over (thousands),can write,,219.7
2023,Barcelona,Spanish,rest of Spain,population aged 15 and over (thousands),knowledge of all skills,,219.7
2023,Barcelona,Spanish,rest of Spain,proportion of population from 15 years and over (%),can understand,,100
2023,Barcelona,Spanish,rest of Spain,proportion of population from 15 years and over (%),can speak,,100
2023,Barcelona,Spanish,rest of Spain,proportion of population from 15 years and over (%),can read,,97.6
2023,Barcelona,Spanish,rest of Spain,proportion of population from 15 years and over (%),can write,,94.5
2023,Barcelona,Spanish,rest of Spain,proportion of population from 15 years and over (%),knowledge of all skills,,94.5
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can understand,,478
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can speak,,472.3
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can read,,465.1
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can write,,442.7
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),knowledge of all skills,,442.7
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can understand,,98.5
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can speak,,97.4
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can read,,95.9
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can write,,91.3
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,91.3
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can understand,,1454.5
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can speak,,1447.7
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can read,,1431.2
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can write,,1382.6
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),knowledge of all skills,,1382.6
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can understand,,99.5
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can speak,,99
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can read,,97.9
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can write,,94.6
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),knowledge of all skills,,94.6
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can understand,,515.3
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can speak,,445.8
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can read,,485.4
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can write,,433.9
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),knowledge of all skills,,414.6
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can understand,,69.3
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can speak,,59.9
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can read,,65.2
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can write,,58.3
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),knowledge of all skills,,55.7
2023,Barcelona,English,rest of Spain,population aged 15 and over (thousands),can understand,,77.2
2023,Barcelona,English,rest of Spain,population aged 15 and over (thousands),can speak,,64.9
2023,Barcelona,English,rest of Spain,population aged 15 and over (thousands),can read,,73.2
2023,Barcelona,English,rest of Spain,population aged 15 and over (thousands),can write,,60.5
2023,Barcelona,English,rest of Spain,population aged 15 and over (thousands),knowledge of all skills,,57.6
2023,Barcelona,English,rest of Spain,proportion of population from 15 years and over (%),can understand,,33.2
2023,Barcelona,English,rest of Spain,proportion of population from 15 years and over (%),can speak,,27.9
2023,Barcelona,English,rest of Spain,proportion of population from 15 years and over (%),can read,,31.5
2023,Barcelona,English,rest of Spain,proportion of population from 15 years and over (%),can write,,26
2023,Barcelona,English,rest of Spain,proportion of population from 15 years and over (%),knowledge of all skills,,24.8
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can understand,,362.8
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can speak,,335.5
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can read,,335.7
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can write,,298.8
2023,Barcelona,English,foreign,population aged 15 and over (thousands),knowledge of all skills,,295.5
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can understand,,74.8
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can speak,,69.2
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can read,,69.2
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can write,,61.6
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,60.9
2023,Barcelona,English,total,population aged 15 and over (thousands),can understand,,955.4
2023,Barcelona,English,total,population aged 15 and over (thousands),can speak,,846.2
2023,Barcelona,English,total,population aged 15 and over (thousands),can read,,894.2
2023,Barcelona,English,total,population aged 15 and over (thousands),can write,,793.2
2023,Barcelona,English,total,population aged 15 and over (thousands),knowledge of all skills,,767.7
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can understand,,65.4
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can speak,,57.9
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can read,,61.2
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can write,,54.3
2023,Barcelona,English,total,proportion of population from 15 years and over (%),knowledge of all skills,,52.5
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can understand,,312.8
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can speak,,233.2
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can read,,266.2
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can write,,189.2
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),knowledge of all skills,,186.9
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can understand,,42
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can speak,,31.3
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can read,,35.8
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can write,,25.4
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),knowledge of all skills,,25.1
2023,Barcelona,French,rest of Spain,population aged 15 and over (thousands),can understand,,47.5
2023,Barcelona,French,rest of Spain,population aged 15 and over (thousands),can speak,,40.4
2023,Barcelona,French,rest of Spain,population aged 15 and over (thousands),can read,,44.6
2023,Barcelona,French,rest of Spain,population aged 15 and over (thousands),can write,,34.8
2023,Barcelona,French,rest of Spain,population aged 15 and over (thousands),knowledge of all skills,,34.8
2023,Barcelona,French,rest of Spain,proportion of population from 15 years and over (%),can understand,,20.4
2023,Barcelona,French,rest of Spain,proportion of population from 15 years and over (%),can speak,,17.4
2023,Barcelona,French,rest of Spain,proportion of population from 15 years and over (%),can read,,19.2
2023,Barcelona,French,rest of Spain,proportion of population from 15 years and over (%),can write,,15
2023,Barcelona,French,rest of Spain,proportion of population from 15 years and over (%),knowledge of all skills,,15
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can understand,,121.6
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can speak,,93.6
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can read,,98.9
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can write,,74.7
2023,Barcelona,French,foreign,population aged 15 and over (thousands),knowledge of all skills,,74.7
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can understand,,25.1
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can speak,,19.3
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can read,,20.4
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can write,,15.4
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,15.4
2023,Barcelona,French,total,population aged 15 and over (thousands),can understand,,481.8
2023,Barcelona,French,total,population aged 15 and over (thousands),can speak,,367.2
2023,Barcelona,French,total,population aged 15 and over (thousands),can read,,409.7
2023,Barcelona,French,total,population aged 15 and over (thousands),can write,,298.7
2023,Barcelona,French,total,population aged 15 and over (thousands),knowledge of all skills,,296.3
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can understand,,33
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can speak,,25.1
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can read,,28
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can write,,20.4
2023,Barcelona,French,total,proportion of population from 15 years and over (%),knowledge of all skills,,20.3
