year,municipality,language,place of birth,concept,language skills,status,value
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can understand,,507.4
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can speak,,505
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can read,,503.8
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),can write,,467.2
2023,Barcelona,Catalan,Catalonia,population aged 15 and over (thousands),knowledge of all skills,,467.2
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can understand,,100
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can speak,,99.5
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can read,,99.3
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),can write,,92.1
2023,Barcelona,Catalan,Catalonia,proportion of population from 15 years and over (%),knowledge of all skills,,92.1
2023,Barcelona,Catalan,Spain,population aged 15 and over (thousands),can understand,,441.3
2023,Barcelona,Catalan,Spain,population aged 15 and over (thousands),can speak,,388.3
2023,Barcelona,Catalan,Spain,population aged 15 and over (thousands),can read,,402.1
2023,Barcelona,Catalan,Spain,population aged 15 and over (thousands),can write,,275.9
2023,Barcelona,Catalan,Spain,population aged 15 and over (thousands),knowledge of all skills,,275.9
2023,Barcelona,Catalan,Spain,proportion of population from 15 years and over (%),can understand,,97.5
2023,Barcelona,Catalan,Spain,proportion of population from 15 years and over (%),can speak,,85.8
2023,Barcelona,Catalan,Spain,proportion of population from 15 years and over (%),can read,,88.9
2023,Barcelona,Catalan,Spain,proportion of population from 15 years and over (%),can write,,61
2023,Barcelona,Catalan,Spain,proportion of population from 15 years and over (%),knowledge of all skills,,61
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can understand,,377.5
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can speak,,234.7
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can read,,293.1
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),can write,,163.4
2023,Barcelona,Catalan,foreign,population aged 15 and over (thousands),knowledge of all skills,,158
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can understand,,78.2
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can speak,,48.6
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can read,,60.7
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),can write,,33.8
2023,Barcelona,Catalan,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,32.7
2023,Barcelona,Catalan,Unknown,population aged 15 and over (thousands),can understand,.., 
