year,Catalonia,territorial area of ​​stratification,habitual language,concept,status,value
2023,Catalunya,Barcelona ciutat,Catalan,population aged 15 and over (thousands),,393.6
2023,Catalunya,Barcelona ciutat,Spanish,population aged 15 and over (thousands),,689.9
2023,Catalunya,Barcelona ciutat,Catalan and Spanish,population aged 15 and over (thousands),,151.5
2023,Catalunya,Barcelona ciutat,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelona ciutat,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelona ciutat,Spanish and another language (or languages),population aged 15 and over (thousands),,82.9
2023,Catalunya,Barcelona ciutat,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelona ciutat,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelona ciutat,other languages,population aged 15 and over (thousands),,88.3
2023,Catalunya,Barcelona ciutat,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelona ciutat,total,population aged 15 and over (thousands),,1461.6
2023,Catalunya,Hospitalet de Llobregat,Catalan,population aged 15 and over (thousands),,24.6
2023,Catalunya,Hospitalet de Llobregat,Spanish,population aged 15 and over (thousands),,175.4
2023,Catalunya,Hospitalet de Llobregat,Catalan and Spanish,population aged 15 and over (thousands),,11.8
2023,Catalunya,Hospitalet de Llobregat,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Hospitalet de Llobregat,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Hospitalet de Llobregat,Spanish and another language (or languages),population aged 15 and over (thousands),,11.7
2023,Catalunya,Hospitalet de Llobregat,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Hospitalet de Llobregat,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Hospitalet de Llobregat,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Hospitalet de Llobregat,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Hospitalet de Llobregat,total,population aged 15 and over (thousands),,239.4
2023,Catalunya,Barcelonès Nord,Catalan,population aged 15 and over (thousands),,46.4
2023,Catalunya,Barcelonès Nord,Spanish,population aged 15 and over (thousands),,222.4
2023,Catalunya,Barcelonès Nord,Catalan and Spanish,population aged 15 and over (thousands),,21.8
2023,Catalunya,Barcelonès Nord,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelonès Nord,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelonès Nord,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelonès Nord,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelonès Nord,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelonès Nord,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelonès Nord,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Barcelonès Nord,total,population aged 15 and over (thousands),,325.2
2023,Catalunya,Baix Llobregat I,Catalan,population aged 15 and over (thousands),,79.6
2023,Catalunya,Baix Llobregat I,Spanish,population aged 15 and over (thousands),,208.9
2023,Catalunya,Baix Llobregat I,Catalan and Spanish,population aged 15 and over (thousands),,35.5
2023,Catalunya,Baix Llobregat I,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat I,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat I,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat I,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat I,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat I,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat I,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat I,total,population aged 15 and over (thousands),,346.7
2023,Catalunya,Baix Llobregat II,Catalan,population aged 15 and over (thousands),,45.2
2023,Catalunya,Baix Llobregat II,Spanish,population aged 15 and over (thousands),,257.6
2023,Catalunya,Baix Llobregat II,Catalan and Spanish,population aged 15 and over (thousands),,31.7
2023,Catalunya,Baix Llobregat II,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat II,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat II,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat II,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Baix Llobregat II,Arabic,population aged 15 and over (thousands),.., 
